Vehicle ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Category ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count,Engine Description,Manufacturer,Manufacturer URL,Category,Fuel Code,Fuel,Fuel Configuration Name,Electric-Only Range,PHEV Total Range,PHEV Type,Notes,Drivetrain
12966,41,1,391,27,Taycan 4 Cross Turismo,2022,76,77,76,,,,Auto,e-motor,175 and 320 kW electric motors,,"175 and 320 kW electric motors;
129 Ah battery",Porsche,http://www.porsche.com,Sedan/Wagon,ELEC,Electric,Dedicated,215,,,,AWD
12967,41,1,391,27,Taycan 4S Cross Turismo,2022,75,75,75,,,,Auto,e-motor,175 and 320 kW electric motors,,"175 and 320 kW electric motors;
129 Ah battery",Porsche,http://www.porsche.com,Sedan/Wagon,ELEC,Electric,Dedicated,215,,,,AWD
12960,41,1,391,27,Taycan 4S Perf Battery,2022,79,80,79,,,,Auto,e-motor,150 and 270 kW electric motors,,"150 and 270 kW electric motors;
129 Ah battery",Porsche,http://www.porsche.com,Sedan/Wagon,ELEC,Electric,Dedicated,199,,,,AWD
12961,41,1,391,27,Taycan 4S Perf Battery Plus,2022,72,81,77,,,,Auto,e-motor,175 and 320 kW electric motors,,"175 and 320 kW electric motors;
129 Ah battery",Porsche,http://www.porsche.com,Sedan/Wagon,ELEC,Electric,Dedicated,227,,,,AWD
12964,41,1,391,27,Taycan Perf Battery,2022,76,84,79,,,,Auto,e-motor,240 kW electric motor,,"240 kW electric motor; 
129 Ah battery",Porsche,http://www.porsche.com,Sedan/Wagon,ELEC,Electric,Dedicated,200,,,,AWD
12965,41,1,391,27,Taycan Perf Battery Plus,2022,71,80,75,,,,Auto,e-motor,280 kW electric motor,,"280 kW electric motor; 
129 Ah battery",Porsche,http://www.porsche.com,Sedan/Wagon,ELEC,Electric,Dedicated,225,,,,AWD
12962,41,1,391,27,Taycan Turbo,2022,71,75,73,,,,Auto,e-motor,170 and 335 kW electric motors,,"170 and 335 kW electric motors;
129 Ah battery",Porsche,http://www.porsche.com,Sedan/Wagon,ELEC,Electric,Dedicated,212,,,,AWD
12968,41,1,391,27,Taycan Turbo Cross Turismo,2022,72,72,72,,,,Auto,e-motor,175 and 355 kW electric motors,,"175 and 355 kW electric motors;
129 Ah battery",Porsche,http://www.porsche.com,Sedan/Wagon,ELEC,Electric,Dedicated,204,,,,AWD
12963,41,1,391,27,Taycan Turbo S,2022,69,71,70,,,,Auto,e-motor,190 and 335 kW electric motors,,"190 and 335 kW electric motors;
129 Ah battery",Porsche,http://www.porsche.com,Sedan/Wagon,ELEC,Electric,Dedicated,201,,,,AWD
12969,41,1,391,27,Taycan Turbo S Cross Turismo,2022,74,73,73,,,,Auto,e-motor,175 and 355 kW electric motors,,"175 and 355 kW electric motors;
129 Ah battery",Porsche,http://www.porsche.com,Sedan/Wagon,ELEC,Electric,Dedicated,202,,,,AWD
12970,41,1,470,29,R1S,2022,73,65,69,,,,Auto,e-motor,"162, 162, 163, 163 kW ",,"162, 162, 163, 163kW electric independent electric motors;
360Ah battery",Rivian ,,SUV,ELEC,Electric,Dedicated,316,,,,Part-Time 4WD
12971,41,1,470,25,R1T,2022,74,66,70,,,,Auto,e-motor,"162, 162, 163, 163 kW ",,"162, 162, 163, 163kW electric independent electric motors;
360Ah battery",Rivian ,,Pickup,ELEC,Electric,Dedicated,314,,,,Part-Time 4WD
13014,41,1,237,27,Model 3 (Long Range) AWD,2022,134,126,131,,,,Auto,e-motor,98 kW and 195 kW electric motors,,"98 kW and 195 kW electric motors; 
235 Ah battery",Tesla,http://www.teslamotors.com/design/gallery-body.php,Sedan/Wagon,ELEC,Electric,Dedicated,353,,,,AWD
13015,41,1,237,27,Model 3 Performance AWD,2022,118,107,113,,,,Auto,e-motor,131kW and 190 kW electric motors,,"131kW and 190 kW electric motors; 
235 Ah battery",Tesla,http://www.teslamotors.com/design/gallery-body.php,Sedan/Wagon,ELEC,Electric,Dedicated,315,,,,AWD
13013,41,1,237,27,Model 3 RWD,2022,138,126,132,,,,Auto,e-motor,192 kW electric motor,,"192 kW electric motor; 
174 Ah battery",Tesla,http://www.teslamotors.com/design/gallery-body.php,Sedan/Wagon,ELEC,Electric,Dedicated,272,,,,RWD
13010,41,1,237,27,Model S ,2022,124,115,120,,,,Auto,e-motor,247 kW dual electric motors,,"247 kW dual electric motors;
256 Ah battery",Tesla,http://www.teslamotors.com/design/gallery-body.php,Sedan/Wagon,ELEC,Electric,Dedicated,405,,,,AWD
13012,41,1,237,27,"Model S Plaid (19"" Wheels)",2022,119,112,116,,,,Auto,e-motor,250 kW electric motors (X3),,"250 kW electric motors (X3);
256 Ah battery",Tesla,http://www.teslamotors.com/design/gallery-body.php,Sedan/Wagon,ELEC,Electric,Dedicated,396,,,,AWD
13011,41,1,237,27,"Model S Plaid (21"" Wheels)",2022,102,99,101,,,,Auto,e-motor,250 kW electric motors (X3),,"250 kW electric motors (X3);
256 Ah battery",Tesla,http://www.teslamotors.com/design/gallery-body.php,Sedan/Wagon,ELEC,Electric,Dedicated,348,,,,AWD
13019,41,1,237,29,Model X AWD,2022,107,97,102,,,,Auto,e-motor,243 and 248 kW electric motors,,"243 and 248 kW electric motors;
256 Ah battery",Tesla,http://www.teslamotors.com/design/gallery-body.php,SUV,ELEC,Electric,Dedicated,348,,,,AWD
13020,41,1,237,29,"Model X Plaid (20"" Wheels)",2022,103,93,98,,,,Auto,e-motor,230kW electric motors (X3),,"230kW electric motors (X3);
256 Ah battery",Tesla,http://www.teslamotors.com/design/gallery-body.php,SUV,ELEC,Electric,Dedicated,333,,,,AWD
13021,41,1,237,29,"Model X Plaid (22"" Wheels)",2022,94,88,91,,,,Auto,e-motor,230kW electric motors (X3),,"230kW electric motors (X3);
256 Ah battery",Tesla,http://www.teslamotors.com/design/gallery-body.php,SUV,ELEC,Electric,Dedicated,311,,,,AWD
13075,41,1,237,29,Model Y AWD,2022,129,116,123,,,,Auto,e-motor,91 and 200 kW electric motors,,"91 and 200 kW electric motors;
235 Ah battery",Tesla,http://www.teslamotors.com/design/gallery-body.php,SUV,ELEC,Electric,Dedicated,279,,,,AWD
13017,41,1,237,29,Model Y (Long Range) AWD,2022,127,117,122,,,,Auto,e-motor,91 and 200 kW electric motors,,"91 and 200 kW electric motors;
235 Ah battery",Tesla,http://www.teslamotors.com/design/gallery-body.php,SUV,ELEC,Electric,Dedicated,330,,,,AWD
13016,41,1,237,29,Model Y Performance AWD,2022,115,106,111,,,,Auto,e-motor,133 and 179 kW electric motors,,"133 and 179 kW electric motors;
235 Ah battery",Tesla,http://www.teslamotors.com/design/gallery-body.php,SUV,ELEC,Electric,Dedicated,303,,,,AWD
13018,41,1,237,29,Model Y RWD,2022,140,119,129,,,,Auto,e-motor,209 kW electric motor,,"209 kW electric motor;
158 Ah battery",Tesla,http://www.teslamotors.com/design/gallery-body.php,SUV,ELEC,Electric,Dedicated,244,,,,RWD
13022,41,1,395,29,C40 Recharge Twin,2022,94,80,87,,,,Auto,e-motor,150 kW electric motors (X2),,"150 kW electric motors (X2);
196 Ah battery",Volvo,,SUV,ELEC,Electric,Dedicated,226,,,,AWD
12885,41,1,395,29,XC40 Recharge Twin,2022,92,79,85,,,,Auto,e-motor,150kW electric motor,,"150 kW electric motor;
196 Ah battery",Volvo,,SUV,ELEC,Electric,Dedicated,223,,,,AWD
12623,41,,377,29,e-tron,2021,78,77,78,,,,Auto,e-motor,141 kW and 172 kW electric motor,,"141 kW and 172 kW electric motors;
240 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,,222,,,,
12622,41,,377,29,e-tron Sportback,2021,76,78,77,,,,Auto,e-motor,141 kW and 172 kW electric motor,,"141 kW and 172 kW electric motors;
240 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,,218,,,,
12750,41,1,211,27,i3,2021,124,102,113,,,,Auto,e-motor,125 kW electric motor,,"125 kW electric motor;
120 Ah battery",BMW,www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,153,,,,
12695,41,1,211,27,i3s,2021,124,102,113,,,,Auto,e-motor,135 kW electric motor,,"135 kW electric motor;
120 Ah battery",BMW,www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,153,,,,
12696,41,1,215,27,Bolt EV,2021,127,108,118,,,,,e-motor,150 kW electric motor,,"150 kW electric motor;
189 Ah battery",Chevrolet,http://www.chevrolet.com,Sedan/Wagon,ELEC,Electric,Dedicated,259,,,,
12666,41,1,219,27,Mustang Mach-E AWD,2021,100,86,93,,,,Auto,e-motor,198 kW electric motor,,"198 kW electric motor;
216 kWh battery",Ford,https://www.ford.com,Sedan/Wagon,ELEC,Electric,Dedicated,211,,,,Part-Time 4WD
12667,41,1,219,27,Mustang Mach-E AWD Extended,2021,96,84,90,,,,Auto,e-motor,209 kW electric motor,,"209 kW electric motor;
288 kWh battery",Ford,https://www.ford.com,Sedan/Wagon,ELEC,Electric,Dedicated,270,,,,
12993,41,1,219,27,Mustang Mach-E GT AWD,2021,90,77,84,,,,Auto,e-motor,179  kW electric motors (X2),,"179  kW electric motors (X2);
288 Ah battery",Ford,https://www.ford.com,Sedan/Wagon,ELEC,Electric,Dedicated,270,,,,AWD
12994,41,1,219,27,Mustang Mach-E GT AWD,2021,88,75,82,,,,Auto,e-motor,179  kW electric motors (X2),,"179  kW electric motors (X2);
288 Ah battery",Ford,https://www.ford.com,Sedan/Wagon,ELEC,Electric,Dedicated,260,,,,AWD
12664,41,1,219,27,Mustang Mach-E RWD,2021,105,93,100,,,,Auto,e-motor,198 kW electric motor,,"198 kW electric motor;
216 kWh battery",Ford,https://www.ford.com,Sedan/Wagon,ELEC,Electric,Dedicated,230,,,,
12714,41,1,219,27,Mustang Mach-E RWD California Route 1,2021,108,94,101,,,,Auto,e-motor,216 kW electric motor,,"216 kW electric motor;
288 kWh battery",Ford,https://www.ford.com,Sedan/Wagon,ELEC,Electric,Dedicated,305,,,,
12665,41,1,219,27,Mustang Mach-E RWD Extended,2021,104,90,97,,,,Auto,e-motor,216 kW electric motor,,"216 kW electric motor;
288 kWh battery",Ford,https://www.ford.com,Sedan/Wagon,ELEC,Electric,Dedicated,300,,,,
12756,41,1,351,27,Ioniq Electric,2021,145,121,133,,,,Auto,e-motor,100 kW electric motor,,"100 kW electric motor;
120 Ah battery",Hyundai,http://www.hyundaiusa.com/,Sedan/Wagon,ELEC,Electric,Dedicated,170,,,,
12725,41,1,351,29,Kona Electric,2021,132,108,120,,,,Auto,e-motor,150 kW electric motor,,"150 kW electric motor;
180 Ah battery",Hyundai,http://www.hyundaiusa.com/,SUV,ELEC,Electric,Dedicated,258,,,,
12757,41,1,385,29,I-PACE EV400,2021,80,72,76,,,,Auto,e-motor,,,223 Ah battery,Jaguar,http://www.jaguarusa.com/index.html,SUV,ELEC,Electric,Dedicated,234,,,,4WD
12686,41,1,466,27,K27,2021,127,102,114,,,,Auto,e-motor,20 kW electric motor,,"20 kW electric motor;
57 Ah battery",Kandi,,Sedan/Wagon,ELEC,Electric,Dedicated,59,,,,
12751,41,1,361,27,Niro Electric,2021,123,102,112,,,,Auto,e-motor,150 kW electric motor,,"150 kW electric motor;
180 Ah battery",Kia,http://www.kia.com,Sedan/Wagon,ELEC,Electric,Dedicated,239,,,,
12556,41,,425,27,Cooper SE Hardtop 2 door,2021,115,100,108,,,,Auto,e-motor,135 kW electric motor,,"135 kW electric motor;
93 Ah battery",Mini,,Sedan/Wagon,ELEC,Electric,,110,,,,
12697,41,9,217,27,Leaf (40 kWh battery pack),2021,123,99,111,,,,Auto,e-motor,110 kW electric motor,,"110 kW electric motor;
115 Ah battery",Nissan,http://www.nissanusa.com,Sedan/Wagon,ELEC,Electric,Hybrid Electric,149,,,,
12700,41,1,217,27,Leaf (62 kWh battery pack),2021,118,97,108,,,,Auto,e-motor,160 kW electric motor,,"160 kW electric motor;
176 Ah battery",Nissan,http://www.nissanusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,226,,,,FWD
12699,41,1,217,27,Leaf SV/SL (62 kWh battery pack),2021,114,94,104,,,,Auto,e-motor,160 kW electric motor,,"160 kW electric motor;
176 Ah battery",Nissan,http://www.nissanusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,215,,,,
12595,41,1,462,27,Polestar 2,2021,96,88,92,,,,Auto,,,,"150 kW electric motor;
196 Ah battery",Polestar Automotive USA,,Sedan/Wagon,ELEC,Electric,Dedicated,233,,,,
12701,41,1,391,27,Taycan 4S Perf Battery,2021,79,80,79,,,,Auto,e-motor,194 and 280 kW electric motors,,"194 and 280 kW electric motors;
129 Ah battery",Porsche,http://www.porsche.com,Sedan/Wagon,ELEC,Electric,Dedicated,199,,,,
12702,41,1,391,27,Taycan 4S Perf Battery Plus,2021,75,81,77,,,,Auto,e-motor,210 and 250 kW electric motors,,"210 and 250 kW electric motors;
129 Ah battery",Porsche,http://www.porsche.com,Sedan/Wagon,ELEC,Electric,Dedicated,227,,,,
12739,41,1,391,27,Taycan Perf Battery,2021,76,84,79,,,,Auto,e-motor,240 kW electric motor,,240 kW electric motor; 129 Ah battery,Porsche,http://www.porsche.com,Sedan/Wagon,ELEC,Electric,Dedicated,200,,,,
12740,41,1,391,27,Taycan Perf Battery Plus,2021,71,80,75,,,,Auto,e-motor,280 kW electric motor,,280 kW electric motor; 129 Ah battery,Porsche,http://www.porsche.com,Sedan/Wagon,ELEC,Electric,Dedicated,225,,,,
12759,41,1,391,27,Taycan Turbo,2021,71,75,73,,,,Auto,e-motor,,,129 Ah battery,Porsche,http://www.porsche.com,Sedan/Wagon,ELEC,Electric,Dedicated,212,,,,
12758,41,1,391,27,Taycan Turbo S,2021,69,71,70,,,,Auto,e-motor,,,129 Ah battery,Porsche,http://www.porsche.com,Sedan/Wagon,ELEC,Electric,Dedicated,201,,,,
12626,41,1,237,27,Model 3 Long Range AWD,2021,141,127,134,,,,Auto,e-motor,131 and 190 kW electric motors,,"131 kW and 190 kW electric motors;
235 Ah battery",Tesla,http://www.teslamotors.com/design/gallery-body.php,Sedan/Wagon,ELEC,Electric,Dedicated,353,,,,
12627,41,1,237,27,Model 3 Performance AWD,2021,118,107,113,,,,Auto,e-motor,131 and 190 kW electric motors,,"131 kW and 190 kW electric motors;
235 Ah battery",Tesla,http://www.teslamotors.com/design/gallery-body.php,Sedan/Wagon,ELEC,Electric,Dedicated,315,,,,
